doctor_name,specialization,available_dates,available_times,consultation_fee
Dr. Amit Sharma,Cardiologist,2025-03-22,10:00 AM - 12:00 PM,1000
Dr. Priya Verma,Dermatologist,2025-03-23,11:00 AM - 01:00 PM,800
Dr. Rajesh Kumar,Orthopedic,2025-03-24,02:00 PM - 04:00 PM,1200
Dr. Sneha Patil,Neurologist,2025-03-25,09:00 AM - 11:00 AM,1500
Dr. Anil Mehta,Gastroenterologist,2025-03-26,03:00 PM - 05:00 PM,1100
Dr. Sunita Rao,Pediatrician,2025-03-27,10:00 AM - 12:00 PM,700
Dr. Vikram Desai,Oncologist,2025-03-28,01:00 PM - 03:00 PM,2000
Dr. Neha Joshi,Gynecologist,2025-03-29,11:00 AM - 01:00 PM,900
Dr. Suresh Nair,Urologist,2025-03-30,02:00 PM - 04:00 PM,1300
Dr. Kavita Bansal,ENT Specialist,2025-03-31,09:00 AM - 11:00 AM,750
Dr. Arjun Kapoor,Endocrinologist,2025-04-01,10:00 AM - 12:00 PM,1400
Dr. Radhika Menon,Ophthalmologist,2025-04-02,01:00 PM - 03:00 PM,850
Dr. Sanjay Gupta,Nephrologist,2025-04-03,02:00 PM - 04:00 PM,1600
Dr. Alok Jain,General Physician,2025-04-04,09:00 AM - 11:00 AM,500
Dr. Meera Kulkarni,Psychiatrist,2025-04-05,03:00 PM - 05:00 PM,1800
